"Date","q","h","e","p","r"
1988-07-15,3.70059604709979,42.29,3.9,0,1.35
1988-07-16,3.70059604709979,42.29,3.9,0,1.35
1988-07-17,3.70059604709979,42.29,3.9,0,1.35
1988-07-18,3.70059604709979,42.29,3.1,0,1.35
1988-07-19,3.70059604709979,42.3,2.2,0,1.35
1988-07-20,3.50041435084459,42.3,3.9,0,1.35
1988-07-21,3.40299287564228,42.3,3.5,0,1.35
1988-07-22,3.59961066557685,42.3,2.3,0,1.35
1988-07-23,3.90799077874446,42.31,3.6,0,1.35
1988-07-24,3.59961066557685,42.31,3.6,0,1.35
1988-07-25,3.40299287564228,42.32,2.8,0,1.35
1988-07-26,3.40299287564228,42.32,3,0,1.35
1988-07-27,3.21341739158765,42.33,3,0,1.35
1988-07-28,3.21341739158765,42.33,2.8,0,1.35
1988-07-29,3.12123478396574,42.33,3.9,0,1.35
1988-07-30,3.12123478396574,42.34,3,0,1.35
1988-07-31,3.12123478396574,42.34,2.3,0,1.35
1988-08-01,3.12123478396574,42.34,2.7,0,1.35
1988-08-02,3.40299287564228,42.35,3.7,0,1.35
1988-08-03,3.40299287564228,42.35,4.6,0,1.35
1988-08-04,2.9420081188694,42.35,2.6,0,1.35
1988-08-05,2.85493528367108,42.35,3.4,0,1.35
1988-08-06,2.85493528367108,42.35,5,0,1.35
1988-08-07,2.60370545470308,42.35,5,0,1.35
1988-08-08,2.76953687718442,42.35,3.9,0,1.35
1988-08-09,3.12123478396574,42.35,2.2,0,1.35
1988-08-10,3.12123478396574,42.35,1.4,0.1,1.35
1988-08-11,3.12123478396574,42.37,2.5,3,1.35
1988-08-12,3.12123478396574,42.37,1.7,0,1.35
1988-08-13,2.85493528367108,42.37,4.2,0,1.35
1988-08-14,2.85493528367108,42.37,4.3,0,1.35
1988-08-15,3.03076981761537,42.37,5.7,0,1.35
1988-08-16,3.40299287564228,42.38,5,0,1.35
1988-08-17,3.30733198413937,42.38,4.5,1,1.35
1988-08-18,3.03076981761537,42.38,1.3,5.2,1.35
1988-08-19,3.12123478396574,42.38,2.8,0,1.35
1988-08-20,3.12123478396574,42.38,2.5,0,1.35
1988-08-21,3.30733198413937,42.38,3.2,0,1.35
1988-08-22,3.70059604709979,42.39,3.3,0,0.79
1988-08-23,3.40299287564228,42.39,2.5,0.9,1.35
1988-08-24,3.40299287564228,42.39,2.7,0,1.35
1988-08-25,3.12123478396574,42.39,2.9,0,1.35
1988-08-26,3.30733198413937,42.39,4.9,0,1.35
1988-08-27,3.59961066557685,42.39,5.1,0,1.35
1988-08-28,3.70059604709979,42.39,3.5,0,1.35
1988-08-29,3.70059604709979,42.39,3.5,0,1.35
